snd_flowery_voiceclip_my_human | file=snd_flowery_voiceclip_my_human.ogg | group=0 | audio=252 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_hey_raly | file=snd_flowery_voiceclip_hey_raly.ogg | group=0 | audio=200 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_spiral_dance | file=snd_flowery_voiceclip_spiral_dance.ogg | group=0 | audio=288 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_dont_you_like_serving_humans | file=snd_flowery_voiceclip_dont_you_like_serving_humans.ogg | group=0 | audio=165 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_stingus_ja | file=snd_flowery_voiceclip_stingus_ja.ogg | group=0 | audio=290 | flags=IsEmbedded, Regular
snd_flowery_power_up | file=snd_flowery_power_up.ogg | group=0 | audio=159 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_grown_like_a_turnip_ja | file=snd_flowery_voiceclip_grown_like_a_turnip_ja.ogg | group=0 | audio=187 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_the_diner | file=snd_flowery_voiceclip_the_diner.ogg | group=0 | audio=304 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorrytokeepyouwaiting2 | file=snd_flowery_voiceclip_sorrytokeepyouwaiting2.ogg | group=0 | audio=285 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_say_that_again_ja | file=snd_flowery_voiceclip_say_that_again_ja.ogg | group=0 | audio=269 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorrytokeepaladyinwaiting_ja | file=snd_flowery_voiceclip_sorrytokeepaladyinwaiting_ja.ogg | group=0 | audio=280 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_its_all_yours | file=snd_flowery_voiceclip_its_all_yours.ogg | group=0 | audio=221 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_the_diner_ja | file=snd_flowery_voiceclip_the_diner_ja.ogg | group=0 | audio=305 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_heyguys | file=snd_flowery_voiceclip_heyguys.ogg | group=0 | audio=202 | flags=IsEmbedded, Regular
snd_flowery_voicenoise_1 | file=snd_flowery_voicenoise_1.ogg | group=0 | audio=328 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorryaboutthatlittleguy_ja | file=snd_flowery_voiceclip_sorryaboutthatlittleguy_ja.ogg | group=0 | audio=275 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_hey | file=snd_flowery_voiceclip_hey.ogg | group=0 | audio=197 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorrytokeepyouwaiting1 | file=snd_flowery_voiceclip_sorrytokeepyouwaiting1.ogg | group=0 | audio=283 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_huh | file=snd_flowery_voiceclip_huh.ogg | group=0 | audio=209 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_minipeppers_ja | file=snd_flowery_voiceclip_minipeppers_ja.ogg | group=0 | audio=247 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_it | file=snd_flowery_voiceclip_it.ogg | group=0 | audio=218 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_goodbye | file=snd_flowery_voiceclip_goodbye.ogg | group=0 | audio=183 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_all_according_to_all_according_to_plant_ja | file=snd_flowery_voiceclip_all_according_to_all_according_to_plant_ja.ogg | group=0 | audio=161 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_flowery2 | file=snd_flowery_voiceclip_flowery2.ogg | group=0 | audio=170 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_glue_ja | file=snd_flowery_voiceclip_glue_ja.ogg | group=0 | audio=180 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_flowery | file=snd_flowery_voiceclip_flowery.ogg | group=0 | audio=169 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_take_that | file=snd_flowery_voiceclip_take_that.ogg | group=0 | audio=295 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_youre_a_hero | file=snd_flowery_voiceclip_youre_a_hero.ogg | group=0 | audio=326 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_thats_my_dreams | file=snd_flowery_voiceclip_thats_my_dreams.ogg | group=0 | audio=297 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_mysterious_wind | file=snd_flowery_voiceclip_mysterious_wind.ogg | group=0 | audio=257 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_smile_again | file=snd_flowery_voiceclip_smile_again.ogg | group=0 | audio=270 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_hereicomesanfrandisco_weak | file=snd_flowery_voiceclip_hereicomesanfrandisco_weak.ogg | group=0 | audio=196 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_jarona2 | file=snd_flowery_voiceclip_jarona2.ogg | group=0 | audio=232 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_susie | file=snd_flowery_voiceclip_susie.ogg | group=0 | audio=293 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorrytokeepyouladies | file=snd_flowery_voiceclip_sorrytokeepyouladies.ogg | group=0 | audio=281 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_its_all_in_a_name | file=snd_flowery_voiceclip_its_all_in_a_name.ogg | group=0 | audio=219 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_heh_it_s_my_jarona | file=snd_flowery_voiceclip_heh_it_s_my_jarona.ogg | group=0 | audio=189 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_wow_ja | file=snd_flowery_voiceclip_wow_ja.ogg | group=0 | audio=317 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_with_your_powers_combined | file=snd_flowery_voiceclip_with_your_powers_combined.ogg | group=0 | audio=314 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_no_way_its_your_children_ja | file=snd_flowery_voiceclip_no_way_its_your_children_ja.ogg | group=0 | audio=260 | flags=IsEmbedded, Regular
snd_flowery_clash_cymbal | file=snd_flowery_clash_cymbal.ogg | group=0 | audio=155 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_no_way_its_your_children | file=snd_flowery_voiceclip_no_way_its_your_children.ogg | group=0 | audio=259 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_its_so_human | file=snd_flowery_voiceclip_its_so_human.ogg | group=0 | audio=223 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_blingo_blizzard | file=snd_flowery_voiceclip_blingo_blizzard.ogg | group=0 | audio=162 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_nonono | file=snd_flowery_voiceclip_nonono.ogg | group=0 | audio=261 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_jarona2_ja | file=snd_flowery_voiceclip_jarona2_ja.ogg | group=0 | audio=233 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_yoroshiku | file=snd_flowery_voiceclip_yoroshiku.ogg | group=0 | audio=320 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_get_a_chance_1_ja | file=snd_flowery_voiceclip_get_a_chance_1_ja.ogg | group=0 | audio=175 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_flowers_blooms_in_your_heart_ja | file=snd_flowery_voiceclip_flowers_blooms_in_your_heart_ja.ogg | group=0 | audio=168 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_my_king | file=snd_flowery_voiceclip_my_king.ogg | group=0 | audio=254 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_the_boys | file=snd_flowery_voiceclip_the_boys.ogg | group=0 | audio=302 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_heytherelittleguy | file=snd_flowery_voiceclip_heytherelittleguy.ogg | group=0 | audio=206 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_get_a_chance_1 | file=snd_flowery_voiceclip_get_a_chance_1.ogg | group=0 | audio=174 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_heyguysithinkifoundaglue | file=snd_flowery_voiceclip_heyguysithinkifoundaglue.ogg | group=0 | audio=204 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_kris | file=snd_flowery_voiceclip_kris.ogg | group=0 | audio=238 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_yes_ja | file=snd_flowery_voiceclip_yes_ja.ogg | group=0 | audio=319 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_calling_for_help | file=snd_flowery_voiceclip_calling_for_help.ogg | group=0 | audio=163 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_hey_raly_ja | file=snd_flowery_voiceclip_hey_raly_ja.ogg | group=0 | audio=201 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_youre_a_hero_ja | file=snd_flowery_voiceclip_youre_a_hero_ja.ogg | group=0 | audio=327 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_smile_again_ja | file=snd_flowery_voiceclip_smile_again_ja.ogg | group=0 | audio=271 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_with_your_powers_combined_ja | file=snd_flowery_voiceclip_with_your_powers_combined_ja.ogg | group=0 | audio=315 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_thisguysyourbestfriend_ja | file=snd_flowery_voiceclip_thisguysyourbestfriend_ja.ogg | group=0 | audio=309 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorrytokeepaladyinwaiting | file=snd_flowery_voiceclip_sorrytokeepaladyinwaiting.ogg | group=0 | audio=279 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_hereicome | file=snd_flowery_voiceclip_hereicome.ogg | group=0 | audio=191 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_yes | file=snd_flowery_voiceclip_yes.ogg | group=0 | audio=318 | flags=IsEmbedded, Regular
snd_flowery_coin | file=snd_flowery_coin.ogg | group=0 | audio=156 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_jarona1_ja | file=snd_flowery_voiceclip_jarona1_ja.ogg | group=0 | audio=231 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_im_falling_ja | file=snd_flowery_voiceclip_im_falling_ja.ogg | group=0 | audio=212 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_susie_ja | file=snd_flowery_voiceclip_susie_ja.ogg | group=0 | audio=294 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_great_style_ja | file=snd_flowery_voiceclip_great_style_ja.ogg | group=0 | audio=185 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_my_king_ja_alt | file=snd_flowery_voiceclip_my_king_ja_alt.ogg | group=0 | audio=256 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_wow | file=snd_flowery_voiceclip_wow.ogg | group=0 | audio=316 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_hereicomesanfrandisc | file=snd_flowery_voiceclip_hereicomesanfrandisc.ogg | group=0 | audio=192 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sanfran | file=snd_flowery_voiceclip_sanfran.ogg | group=0 | audio=267 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorryabouttheguys_ja | file=snd_flowery_voiceclip_sorryabouttheguys_ja.ogg | group=0 | audio=278 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_im_only_trying_to_help_you_ja | file=snd_flowery_voiceclip_im_only_trying_to_help_you_ja.ogg | group=0 | audio=215 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_forget_it_ja | file=snd_flowery_voiceclip_forget_it_ja.ogg | group=0 | audio=173 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_imsorryonceagainikeptaladyinwaiting_ja | file=snd_flowery_voiceclip_imsorryonceagainikeptaladyinwaiting_ja.ogg | group=0 | audio=217 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_theyre_eating_my_flesh_ja | file=snd_flowery_voiceclip_theyre_eating_my_flesh_ja.ogg | group=0 | audio=307 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_what_a_predictable_creature_ja | file=snd_flowery_voiceclip_what_a_predictable_creature_ja.ogg | group=0 | audio=313 | flags=IsEmbedded, Regular
snd_flowerspwn1 | file=snd_flowerspwn1.wav | group=0 | audio=151 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_hereicomesanfrandisco_strong | file=snd_flowery_voiceclip_hereicomesanfrandisco_strong.ogg | group=0 | audio=194 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_yourdadsmybestfriend_ja | file=snd_flowery_voiceclip_yourdadsmybestfriend_ja.ogg | group=0 | audio=324 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_im_falling_vending_ja | file=snd_flowery_voiceclip_im_falling_vending_ja.ogg | group=0 | audio=213 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_itsmeflowery_ja | file=snd_flowery_voiceclip_itsmeflowery_ja.ogg | group=0 | audio=228 | flags=IsEmbedded, Regular
snd_flowerspwn2 | file=snd_flowerspwn2.wav | group=0 | audio=152 | flags=IsEmbedded, Regular
snd_bounceflower_subtle | file=snd_bounceflower_subtle.ogg | group=0 | audio=71 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_hah | file=snd_flowery_voiceclip_hah.ogg | group=0 | audio=188 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_mysterious_wind_ja | file=snd_flowery_voiceclip_mysterious_wind_ja.ogg | group=0 | audio=258 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_leaf_it_to_me_ja | file=snd_flowery_voiceclip_leaf_it_to_me_ja.ogg | group=0 | audio=243 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_last_jarona_ja | file=snd_flowery_voiceclip_last_jarona_ja.ogg | group=0 | audio=241 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_hey_boys | file=snd_flowery_voiceclip_hey_boys.ogg | group=0 | audio=198 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_prism_blow_ja | file=snd_flowery_voiceclip_prism_blow_ja.ogg | group=0 | audio=266 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_heyguysithinkifoundaglue_ja | file=snd_flowery_voiceclip_heyguysithinkifoundaglue_ja.ogg | group=0 | audio=205 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_heytherelittleguy_ja | file=snd_flowery_voiceclip_heytherelittleguy_ja.ogg | group=0 | audio=207 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_great_style | file=snd_flowery_voiceclip_great_style.ogg | group=0 | audio=184 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_my_king_ja | file=snd_flowery_voiceclip_my_king_ja.ogg | group=0 | audio=255 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_its_all_in_a_name_ja | file=snd_flowery_voiceclip_its_all_in_a_name_ja.ogg | group=0 | audio=220 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_last_jarona | file=snd_flowery_voiceclip_last_jarona.ogg | group=0 | audio=240 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_flowers_blooms_in_your_heart | file=snd_flowery_voiceclip_flowers_blooms_in_your_heart.ogg | group=0 | audio=167 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_leaf_it_to_me | file=snd_flowery_voiceclip_leaf_it_to_me.ogg | group=0 | audio=242 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_go_home_ja | file=snd_flowery_voiceclip_go_home_ja.ogg | group=0 | audio=182 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_lend_me_your_power | file=snd_flowery_voiceclip_lend_me_your_power.ogg | group=0 | audio=244 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_forget_it | file=snd_flowery_voiceclip_forget_it.ogg | group=0 | audio=172 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_give_to_you | file=snd_flowery_voiceclip_give_to_you.ogg | group=0 | audio=177 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_thisguysyourbestfriend | file=snd_flowery_voiceclip_thisguysyourbestfriend.ogg | group=0 | audio=308 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorrytokeepyouwaiting2_ja | file=snd_flowery_voiceclip_sorrytokeepyouwaiting2_ja.ogg | group=0 | audio=286 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorrytokeepyouladies_ja | file=snd_flowery_voiceclip_sorrytokeepyouladies_ja.ogg | group=0 | audio=282 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_heyguys_ja | file=snd_flowery_voiceclip_heyguys_ja.ogg | group=0 | audio=203 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_theyre_eating_my_flesh | file=snd_flowery_voiceclip_theyre_eating_my_flesh.ogg | group=0 | audio=306 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_my_human_ja | file=snd_flowery_voiceclip_my_human_ja.ogg | group=0 | audio=253 | flags=IsEmbedded, Regular
snd_flowery_joined | file=snd_flowery_joined.ogg | group=0 | audio=158 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_what_a_predictable_creature | file=snd_flowery_voiceclip_what_a_predictable_creature.ogg | group=0 | audio=312 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_the_boys_ja | file=snd_flowery_voiceclip_the_boys_ja.ogg | group=0 | audio=303 | flags=IsEmbedded, Regular
snd_flowery_bromide_f | file=snd_flowery_bromide_f.ogg | group=0 | audio=153 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorrytokeepyouwaiting3_ja | file=snd_flowery_voiceclip_sorrytokeepyouwaiting3_ja.ogg | group=0 | audio=287 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_omega_flowery | file=snd_flowery_voiceclip_omega_flowery.ogg | group=0 | audio=262 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_give_to_you_ja | file=snd_flowery_voiceclip_give_to_you_ja.ogg | group=0 | audio=178 | flags=IsEmbedded, Regular
snd_flowery_bromide_r | file=snd_flowery_bromide_r.ogg | group=0 | audio=154 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_get_a_chance_2 | file=snd_flowery_voiceclip_get_a_chance_2.ogg | group=0 | audio=176 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_thats_my_dreams_ja_alt | file=snd_flowery_voiceclip_thats_my_dreams_ja_alt.ogg | group=0 | audio=299 | flags=IsEmbedded, Regular
snd_flowery_voicenoise_loop | file=snd_flowery_voicenoise_loop.ogg | group=0 | audio=331 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_itsme | file=snd_flowery_voiceclip_itsme.ogg | group=0 | audio=225 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_flowery2_ja | file=snd_flowery_voiceclip_flowery2_ja.ogg | group=0 | audio=171 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_hereicomesanfrandisc_ja | file=snd_flowery_voiceclip_hereicomesanfrandisc_ja.ogg | group=0 | audio=193 | flags=IsEmbedded, Regular
snd_flowery_coin_big | file=snd_flowery_coin_big.ogg | group=0 | audio=157 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_im_falling | file=snd_flowery_voiceclip_im_falling.ogg | group=0 | audio=211 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_yourdadsmybestfriend2_ja | file=snd_flowery_voiceclip_yourdadsmybestfriend2_ja.ogg | group=0 | audio=325 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorrytokeepyouwaiting1_ja | file=snd_flowery_voiceclip_sorrytokeepyouwaiting1_ja.ogg | group=0 | audio=284 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_hoo | file=snd_flowery_voiceclip_hoo.ogg | group=0 | audio=208 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_mostlys | file=snd_flowery_voiceclip_mostlys.ogg | group=0 | audio=248 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_thats_my_dreams_ja | file=snd_flowery_voiceclip_thats_my_dreams_ja.ogg | group=0 | audio=298 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_omega_flowery_ja | file=snd_flowery_voiceclip_omega_flowery_ja.ogg | group=0 | audio=263 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_grown_like_a_turnip | file=snd_flowery_voiceclip_grown_like_a_turnip.ogg | group=0 | audio=186 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_try_my_flavor | file=snd_flowery_voiceclip_try_my_flavor.ogg | group=0 | audio=310 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_heh_it_s_my_jarona_ja | file=snd_flowery_voiceclip_heh_it_s_my_jarona_ja.ogg | group=0 | audio=190 | flags=IsEmbedded, Regular
snd_bounceflower_quick | file=snd_bounceflower_quick.ogg | group=0 | audio=70 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorryaboutthatguys_ja | file=snd_flowery_voiceclip_sorryaboutthatguys_ja.ogg | group=0 | audio=273 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorryaboutthatlittleguy | file=snd_flowery_voiceclip_sorryaboutthatlittleguy.ogg | group=0 | audio=274 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_thatsgreat_ja | file=snd_flowery_voiceclip_thatsgreat_ja.ogg | group=0 | audio=301 | flags=IsEmbedded, Regular
snd_flowery_voicenoise_3 | file=snd_flowery_voicenoise_3.ogg | group=0 | audio=330 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_its_so_human_ja | file=snd_flowery_voiceclip_its_so_human_ja.ogg | group=0 | audio=224 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_itsmyjarona_ja | file=snd_flowery_voiceclip_itsmyjarona_ja.ogg | group=0 | audio=229 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_sorryabouttheguy_ja | file=snd_flowery_voiceclip_sorryabouttheguy_ja.ogg | group=0 | audio=277 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_minipeppers | file=snd_flowery_voiceclip_minipeppers.ogg | group=0 | audio=246 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_go_home | file=snd_flowery_voiceclip_go_home.ogg | group=0 | audio=181 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_prism_blow | file=snd_flowery_voiceclip_prism_blow.ogg | group=0 | audio=265 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_say_that_again | file=snd_flowery_voiceclip_say_that_again.ogg | group=0 | audio=268 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_im_only_trying_to_help_you | file=snd_flowery_voiceclip_im_only_trying_to_help_you.ogg | group=0 | audio=214 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_my_favorite_two_ja | file=snd_flowery_voiceclip_my_favorite_two_ja.ogg | group=0 | audio=251 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_jarona3_ja | file=snd_flowery_voiceclip_jarona3_ja.ogg | group=0 | audio=235 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_yourdadsmybestfriend | file=snd_flowery_voiceclip_yourdadsmybestfriend.ogg | group=0 | audio=323 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_jarona3 | file=snd_flowery_voiceclip_jarona3.ogg | group=0 | audio=234 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_kris_ja | file=snd_flowery_voiceclip_kris_ja.ogg | group=0 | audio=239 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_stingus | file=snd_flowery_voiceclip_stingus.ogg | group=0 | audio=289 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_dont_you_like_serving_humans_ja | file=snd_flowery_voiceclip_dont_you_like_serving_humans_ja.ogg | group=0 | audio=166 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_hereicomesanfrandisco_strong_ja | file=snd_flowery_voiceclip_hereicomesanfrandisco_strong_ja.ogg | group=0 | audio=195 | flags=IsEmbedded, Regular
snd_flowery_voiceclip_itsme_ja | file=snd_flowery_voiceclip_itsme_ja.ogg | group=0 | audio=226 | flags=IsEmbedded, Regular
